Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,Minutes_90s,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,Goals_minus_xG,npGoals_minus_xG,Cmp,Att,Cmp%,TotDist,PrgDist,xA,Ast_minus_xAG,KP,Passes_Final3rd,PPA,CrsPA,TB,Sw,Crs,TI,CK,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,GCA,GCA90,Tkl,TklW,Tkl_Def3rd,Tkl_Mid3rd,Tkl_Att3rd,Tkl%,Int,Tkl+Int,Clr,Err,Touches,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Subs,Mn/Sub,PPM,PlusMinus,PlusMinus_90,xG_PlusMinus,xG_PlusMinus_90,TwoCrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,GK_PassAtt,Thr,Launch%,AvgLen,Opp,Stp,Stp%,GK_OPA,GK_OPA_90,AvgDist,Gls_p90,Ast_p90,xG_p90,npxG_p90,xAG_p90,xA_p90,PrgC_p90,PrgP_p90,PrgR_p90,Sh_p90,SoT_p90,FK_p90,KP_p90,1/3_p90,PPA_p90,CrsPA_p90,Crs_p90,TI_p90,CK_p90,Off_p90,Blocks_p90,SCA_p90,GCA_p90,PassLive_p90,PassDead_p90,TO_p90,Fld_p90,Tkl_p90,TklW_p90,Tkl+Int_p90,Int_p90,Clr_p90,Err_p90,Touches_p90,Carries_p90,CPA_p90,Mis_p90,Dis_p90,Rec_p90,Recov_p90,Fls_p90,Won_p90,G-xG_p90,np:G-xG_p90,A-xAG_p90,Cmp_p90,Att_p90,TotDist_p90,PrgDist_p90,Succ_p90,Tkld_p90,CrdY_p90,PKwon_p90,PKcon_p90,Subs_p90,Pos_Primary,score_FW,score_DF,score_MF,score_GK,radar_FW_Remate,radar_FW_Gol,radar_FW_Precision,radar_FW_Creacion,radar_FW_Movimiento,radar_FW_Conduccion,radar_DF_Defensa,radar_DF_Pase,radar_DF_Despeje,radar_DF_Aereo,radar_DF_Progresion,radar_DF_Errores,radar_MF_Creacion,radar_MF_Progresion,radar_MF_Defensa,radar_MF_Asistencia,radar_MF_Conduccion,radar_MF_Pase,radar_GK_Calidad,radar_GK_Paradas,radar_GK_GolesEnc,radar_GK_PorteriaACero,radar_GK_Pase
Tomás Palacios,ar ARG,DF,Monza (+1),it Serie A,21.0,10,5,457,5.078,0,0,0,0,2,0,0.0,0.0,0.0,3,24,2,1,0,0.0,0.195,0.0,0.0,,25.179,1,0.039,0.0,0.0,336,377,88.972,5840,2169,0.1,0.0,0,23,1,0,1,2,1,2,0,1,6,6,1.183,5,0,0,1,0,0.0,11,5,9,2,0,67.534,9,20,17,2,432,8,86.76,1,10.833,307,0,3,4,319,54.796,12.694,79.05,5,13.807,0.072,-13,-2.557,-5.4,-1.062,0,2,0,0,0,31,6,58.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.591,4.726,0.394,0.197,0.0,0.197,0.0,4.53,0.197,0.0,0.197,0.394,0.0,0.197,1.182,1.182,0.0,0.985,0.0,0.0,0.197,2.166,0.985,3.939,1.772,3.348,0.394,85.077,60.46,0.0,0.591,0.788,62.823,6.105,0.394,1.182,0.0,0.0,0.0,66.171,74.245,1150.109,427.155,1.575,0.197,0.394,0.0,0.0,0.985,DF,,0.5107,,,,,,,,,0.5331,0.8409,0.3387,0.6506,0.4467,0.6567,,,,,,,,,,,
Tomáš Souček,cz CZE,MF,West Ham,eng Premier League,29.0,35,30,2567,28.5,9,1,0,0,8,0,6.7,6.7,1.0,9,74,68,55,17,30.9,1.93,0.6,0.16,0.53,11.9,0,0.13,2.3,2.3,715,969,73.8,11811,3221,1.3,0.0,14,62,8,1,0,11,14,3,0,3,26,44,1.54,35,0,0,2,3,0.11,46,21,20,23,3,59.1,20,66,85,1,1280,6,50.0,6,50.0,506,3,20,15,764,73.0,75.1,81.0,5,27.0,1.23,-6,-0.21,-5.7,-0.2,0,47,1,0,0,63,99,57.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.316,0.035,0.235,0.235,0.035,0.046,0.316,2.594,2.384,1.928,0.596,0.0,0.491,2.174,0.28,0.035,0.491,0.105,0.0,0.105,0.912,1.543,0.105,1.227,0.0,0.0,0.07,1.613,0.736,2.314,0.701,2.98,0.035,44.877,17.741,0.105,0.701,0.526,26.786,2.209,1.648,3.471,0.081,0.081,0.0,25.068,33.974,414.098,112.929,0.21,0.21,0.28,0.035,0.0,0.175,MF,,,0.1698,,,,,,,,,,,,,,0.1095,0.1492,0.2848,0.0843,0.0421,0.4213,,,,,
Tomáš Suslov,sk SVK,"MF,FW",Hellas Verona,it Serie A,22.0,31,27,2080,23.1,0,1,0,0,7,1,1.6,1.6,1.9,39,82,77,32,7,21.9,1.38,0.3,0.0,0.0,21.6,4,0.05,-1.6,-1.6,387,529,73.2,7405,2018,1.7,-0.9,27,40,22,2,2,9,49,11,20,3,20,74,3.2,47,12,5,6,4,0.17,54,38,23,24,7,31.9,18,72,17,1,811,36,46.8,30,39.0,462,10,54,34,466,67.0,60.8,73.0,4,28.0,0.97,-17,-0.74,-11.6,-0.5,1,54,0,0,0,88,5,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.043,0.069,0.069,0.082,0.074,1.688,3.548,3.332,1.385,0.303,0.173,1.168,1.731,0.952,0.087,2.12,0.476,0.865,0.13,0.865,3.202,0.173,2.034,0.519,0.216,0.26,2.337,1.644,3.115,0.779,0.736,0.043,35.091,19.99,0.433,2.337,1.471,20.163,3.808,2.337,0.216,-0.069,-0.069,-0.039,16.745,22.889,320.409,87.317,1.558,1.298,0.303,0.0,0.0,0.173,MF,,,0.2873,,,,,,,,,,,,,,0.3066,0.2409,0.4056,0.1499,0.2251,0.4045,,,,,
Tomáš Čvančara,cz CZE,FW,Gladbach,de Bundesliga,23.0,28,7,831,9.2,2,0,0,0,5,1,3.8,3.8,0.9,15,23,50,24,9,37.5,2.6,0.97,0.08,0.22,13.9,0,0.16,-1.8,-1.8,171,239,71.5,2503,517,0.5,-0.9,6,13,8,2,0,1,15,6,0,1,8,15,1.62,13,0,0,1,1,0.11,4,1,3,1,0,28.6,5,9,17,0,336,6,35.3,9,52.9,185,5,18,6,235,30.0,27.2,76.0,21,14.0,1.25,-9,-0.97,-8.3,-0.89,1,11,0,0,0,23,13,44.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.217,0.0,0.412,0.412,0.097,0.054,1.625,2.491,5.415,2.599,0.975,0.0,0.65,1.408,0.866,0.217,1.625,0.65,0.0,0.108,0.866,1.625,0.108,1.408,0.0,0.0,0.108,0.433,0.108,0.975,0.542,1.841,0.0,36.39,20.036,0.542,1.949,0.65,25.451,2.491,1.191,1.408,-0.195,-0.195,-0.097,18.52,25.884,271.083,55.993,0.65,0.975,0.542,0.0,0.0,2.274,FW,0.2244,,,,0.3469,0.1889,0.3825,0.0923,0.2224,0.1285,,,,,,,,,,,,,,,,,
Toni Lato,es ESP,DF,Mallorca,es La Liga,26.0,14,7,621,6.9,0,0,0,0,1,1,0.0,0.0,0.4,15,26,35,0,0,,0.0,0.0,,,,0,,0.0,0.0,236,314,75.2,4131,1522,0.8,-0.4,6,19,11,10,0,0,23,55,0,2,5,14,2.03,11,1,0,1,1,0.15,17,11,6,5,6,63.6,6,23,33,0,396,0,0.0,4,100.0,155,1,6,2,188,44.0,18.2,79.0,7,10.0,1.29,1,0.14,-3.3,-0.47,0,12,0,0,0,30,6,46.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.116,2.174,3.768,5.072,0.0,0.0,0.0,0.87,2.754,1.594,1.449,3.333,7.971,0.0,0.29,0.725,2.029,0.145,1.594,0.145,0.0,0.145,2.464,1.594,3.333,0.87,4.783,0.0,57.391,22.464,0.145,0.87,0.29,27.246,4.348,1.739,0.87,0.0,0.0,-0.058,34.203,45.507,598.696,220.58,0.0,0.58,0.145,0.0,0.0,1.014,DF,,0.4274,,,,,,,,,0.4288,0.4776,0.5085,0.5133,0.3333,0.0,,,,,,,,,,,
Toni Martínez,es ESP,FW,Alavés,es La Liga,27.0,28,9,1012,11.2,4,0,0,0,1,0,3.6,3.6,0.6,13,11,57,46,15,32.6,4.09,1.33,0.09,0.27,17.1,0,0.08,0.4,0.4,140,240,58.3,1676,280,0.9,-0.6,11,11,4,1,2,3,7,1,0,3,2,27,2.4,16,0,5,2,1,0.09,12,7,5,4,3,50.0,1,13,15,0,401,9,60.0,5,33.3,162,7,41,11,272,36.0,29.6,71.0,19,19.0,1.0,-5,-0.44,-2.0,-0.17,0,17,0,1,0,30,79,53.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.356,0.0,0.32,0.32,0.053,0.08,1.156,0.978,5.069,4.091,1.334,0.0,0.978,0.978,0.356,0.089,0.623,0.089,0.0,0.267,0.178,2.401,0.089,1.423,0.0,0.445,0.178,1.067,0.623,1.156,0.089,1.334,0.0,35.662,14.407,0.623,3.646,0.978,24.19,2.668,1.512,7.026,0.036,0.036,-0.053,12.451,21.344,149.051,24.901,0.8,0.445,0.089,0.0,0.089,1.69,FW,0.2528,,,,0.2653,0.3098,0.5233,0.1434,0.1992,0.0914,,,,,,,,,,,,,,,,,
Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,26.0,22,15,1409,15.7,1,1,0,0,4,0,0.9,0.9,0.2,5,42,1,13,2,15.4,0.83,0.13,0.08,0.5,12.5,0,0.07,0.1,0.1,1079,1184,91.1,19805,7144,0.2,0.8,1,62,1,0,2,3,0,4,0,3,3,15,0.96,8,0,0,0,1,0.06,17,13,11,6,0,66.7,11,28,80,0,1330,4,66.7,1,16.7,777,0,4,0,1000,64.0,41.2,84.0,7,20.0,1.86,14,0.89,11.5,0.74,0,8,0,0,0,41,42,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.064,0.064,0.057,0.057,0.013,0.013,0.319,2.683,0.064,0.83,0.128,0.0,0.064,3.96,0.064,0.0,0.0,0.256,0.0,0.192,0.192,0.958,0.064,0.511,0.0,0.0,0.0,1.086,0.83,1.789,0.703,5.11,0.0,84.954,49.631,0.0,0.256,0.0,63.875,2.619,0.511,2.683,0.006,0.006,0.051,68.921,75.628,1265.046,456.324,0.256,0.064,0.256,0.0,0.0,0.447,DF,,0.4411,,,,,,,,,0.1629,0.8971,0.5472,0.6667,0.2048,0.0,,,,,,,,,,,
Toti Gomes,pt POR,DF,Wolves,eng Premier League,25.0,31,30,2614,29.0,0,1,0,0,7,0,0.7,0.7,0.9,27,86,18,7,2,28.6,0.24,0.07,0.0,0.0,11.6,0,0.1,-0.7,-0.7,1473,1714,85.9,24482,8584,0.6,0.1,9,87,6,3,0,3,13,35,0,1,21,21,0.72,20,0,0,0,1,0.03,61,43,42,15,4,80.4,25,86,152,5,2027,20,62.5,10,31.3,1205,0,20,15,1387,84.0,76.4,87.0,1,14.0,1.32,-1,-0.03,-7.7,-0.27,0,24,0,1,0,116,53,67.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.034,0.024,0.024,0.031,0.021,0.93,2.961,0.62,0.241,0.069,0.0,0.31,2.995,0.207,0.103,0.448,1.205,0.0,0.034,0.723,0.723,0.034,0.689,0.0,0.0,0.0,2.1,1.48,2.961,0.861,5.233,0.172,69.79,41.488,0.0,0.689,0.516,47.754,3.994,0.826,1.825,-0.024,-0.024,0.003,50.715,59.013,842.915,295.547,0.689,0.344,0.241,0.0,0.034,0.034,DF,,0.4788,,,,,,,,,0.3647,0.7599,0.5618,0.7456,0.2377,0.2867,,,,,,,,,,,
Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,25.0,33,28,2365,26.3,3,6,0,0,5,0,1.9,1.9,7.3,51,232,94,45,8,17.8,1.71,0.3,0.07,0.38,23.6,3,0.04,1.1,1.1,1448,1971,73.5,27901,11363,7.4,-1.3,52,207,65,20,12,32,153,192,55,10,36,98,3.73,74,15,5,0,10,0.38,72,50,44,19,9,46.7,31,103,55,4,2252,17,45.9,17,45.9,1183,9,19,15,1436,72.0,69.2,79.0,5,29.0,2.27,42,1.6,36.9,1.4,0,11,0,0,0,132,3,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.114,0.228,0.072,0.072,0.278,0.282,1.941,8.829,3.577,1.712,0.304,0.114,1.979,7.877,2.474,0.761,5.822,7.307,2.093,0.381,1.37,3.729,0.381,2.816,0.571,0.19,0.0,2.74,1.903,3.92,1.18,2.093,0.152,85.7,45.019,0.342,0.723,0.571,54.647,5.023,0.419,0.114,0.042,0.042,-0.049,55.104,75.006,1061.772,432.419,0.647,0.647,0.19,0.0,0.0,0.19,DF,,0.4326,,,,,,,,,0.5299,0.4327,0.1901,0.2089,0.9326,0.2533,,,,,,,,,,,
Trevoh Chalobah,eng ENG,DF,Crystal Palace (+1),eng Premier League,25.0,25,23,1970,21.889,3,1,0,0,3,0,2.0,2.0,1.6,15,71,8,18,6,32.797,0.819,0.275,0.145,0.404,13.252,0,0.11,1.0,1.0,958,1119,84.081,17358,5521,0.6,-0.6,7,69,5,1,2,4,10,15,0,0,10,24,1.096,20,0,1,0,3,0.139,31,23,12,18,1,68.506,29,60,105,4,1368,8,50.761,3,20.0,704,2,7,9,891,79.685,28.968,84.766,2,4.619,1.582,1,0.046,5.8,0.263,0,19,0,0,0,85,45,59.243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.137,0.046,0.091,0.091,0.073,0.027,0.685,3.244,0.365,0.822,0.274,0.0,0.32,3.152,0.228,0.046,0.457,0.685,0.0,0.0,0.457,1.096,0.137,0.914,0.0,0.046,0.0,1.416,1.051,2.741,1.325,4.797,0.183,62.497,32.162,0.091,0.32,0.411,40.706,3.883,0.868,2.056,0.046,0.046,-0.027,43.766,51.122,793.005,252.228,0.365,0.137,0.137,0.0,0.0,0.091,DF,,0.4411,,,,,,,,,0.3268,0.7119,0.5102,0.6583,0.2712,0.305,,,,,,,,,,,
Tuta,br BRA,"DF,MF",Eint Frankfurt,de Bundesliga,25.0,30,26,2274,25.3,2,1,0,0,8,0,1.1,1.1,0.3,11,78,12,13,5,38.5,0.51,0.2,0.15,0.4,12.1,0,0.08,0.9,0.9,1265,1442,87.7,22286,8026,0.7,0.7,4,79,11,0,4,2,3,10,0,4,16,26,1.03,23,1,0,0,1,0.04,44,27,25,17,2,70.0,40,84,135,1,1772,13,76.5,4,23.5,1007,2,22,7,1130,76.0,74.3,85.0,4,16.0,1.9,20,0.79,12.4,0.49,0,30,0,0,1,120,45,50.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.079,0.04,0.044,0.044,0.012,0.028,0.435,3.087,0.475,0.515,0.198,0.0,0.158,3.127,0.435,0.0,0.119,0.396,0.0,0.158,0.633,1.029,0.04,0.91,0.04,0.0,0.0,1.741,1.069,3.325,1.583,5.343,0.04,70.132,39.855,0.079,0.871,0.277,44.723,4.749,1.187,1.781,0.036,0.036,0.028,50.066,57.071,882.032,317.652,0.515,0.158,0.317,0.0,0.0,0.158,DF,,0.4948,,,,,,,,,0.4274,0.8074,0.5748,0.5622,0.2526,0.0667,,,,,,,,,,,
Tyler Adams,us USA,MF,Bournemouth,eng Premier League,25.0,28,21,1965,21.8,0,3,0,0,7,0,1.6,1.6,1.0,14,76,10,9,2,22.2,0.41,0.09,0.0,0.0,16.9,0,0.18,-1.6,-1.6,902,1069,84.4,14322,3525,0.8,2.0,18,67,4,1,2,1,3,4,0,6,14,41,1.88,35,0,0,1,4,0.18,83,50,26,49,8,54.2,32,115,42,0,1337,4,22.2,10,55.6,663,1,28,12,757,70.0,57.5,85.0,7,26.0,1.46,11,0.5,6.6,0.3,0,45,0,1,0,114,31,63.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.137,0.073,0.073,0.046,0.037,0.641,3.481,0.458,0.412,0.092,0.0,0.824,3.069,0.183,0.046,0.137,0.183,0.0,0.275,0.641,1.878,0.183,1.603,0.0,0.0,0.046,3.802,2.29,5.267,1.466,1.924,0.0,61.237,30.366,0.046,1.282,0.55,34.672,5.221,2.061,1.42,-0.073,-0.073,0.092,41.313,48.962,655.969,161.45,0.183,0.458,0.321,0.0,0.046,0.321,MF,,,0.3284,,,,,,,,,,,,,,0.2065,0.2345,0.7302,0.0632,0.0855,0.7191,,,,,
Tyler Dibling,eng ENG,"FW,MF",Southampton,eng Premier League,18.0,33,20,1874,20.8,2,0,0,0,6,0,2.5,2.5,1.5,69,64,96,28,9,32.1,1.34,0.43,0.07,0.22,19.3,0,0.09,-0.5,-0.5,504,620,81.3,7544,1553,1.5,-1.5,20,27,20,1,8,3,28,3,11,3,17,56,2.69,34,1,11,5,4,0.19,34,20,13,18,3,61.5,8,42,16,1,868,45,40.9,43,39.1,558,26,44,55,651,57.0,54.8,76.0,13,27.0,0.27,-34,-1.63,-28.9,-1.39,0,30,2,0,0,80,10,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.096,0.0,0.12,0.12,0.072,0.072,3.314,3.074,4.61,1.345,0.432,0.0,0.961,1.297,0.961,0.048,1.345,0.144,0.528,0.144,0.816,2.689,0.192,1.633,0.048,0.528,0.24,1.633,0.961,2.017,0.384,0.768,0.048,41.686,26.798,1.249,2.113,2.641,31.265,3.842,1.441,0.48,-0.024,-0.024,-0.072,24.205,29.776,362.305,74.584,2.161,2.065,0.288,0.096,0.0,0.624,FW,0.1132,,,,0.0878,0.0836,0.1695,0.1277,0.1683,0.2621,,,,,,,,,,,,,,,,,
Tyler Fredricson,eng ENG,DF,Manchester Utd,eng Premier League,19.0,2,2,165,1.8,0,0,0,0,0,0,0.0,0.0,0.0,2,8,0,0,0,,0.0,0.0,,,,0,,0.0,0.0,110,122,90.2,1932,434,0.0,0.0,0,8,0,0,0,0,0,0,0,0,2,3,1.63,3,0,0,0,0,0.0,5,3,3,2,0,50.0,1,6,11,0,141,1,100.0,0,0.0,86,0,2,0,95,83.0,4.8,83.0,0,,0.0,-4,-2.18,-0.3,-0.17,0,0,0,0,0,12,7,58.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.091,4.364,0.0,0.0,0.0,0.0,0.0,4.364,0.0,0.0,0.0,0.0,0.0,0.0,1.091,1.636,0.0,1.636,0.0,0.0,0.0,2.727,1.636,3.273,0.545,6.0,0.0,76.909,46.909,0.0,1.091,0.0,51.818,6.545,0.0,3.818,0.0,0.0,0.0,60.0,66.545,1053.818,236.727,0.545,0.0,0.0,0.0,0.0,0.0,DF,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tymoteusz Puchacz,pl POL,DF,Holstein Kiel,de Bundesliga,25.0,10,5,396,4.4,0,1,0,0,0,0,0.1,0.1,0.6,13,8,30,4,1,25.0,0.91,0.23,0.0,0.0,21.6,0,0.02,-0.1,-0.1,137,195,70.3,2283,769,0.7,0.4,8,6,6,6,0,1,37,28,13,0,6,14,3.18,9,5,0,0,1,0.23,9,4,6,3,0,71.4,3,12,11,0,247,9,47.4,8,42.1,109,0,8,5,125,40.0,12.9,54.0,5,25.0,0.4,-4,-0.91,-1.8,-0.42,0,2,0,0,0,32,4,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.227,0.023,0.023,0.136,0.159,2.955,1.818,6.818,0.909,0.227,0.0,1.818,1.364,1.364,1.364,8.409,6.364,2.955,0.0,1.364,3.182,0.227,2.045,1.136,0.0,0.0,2.045,0.909,2.727,0.682,2.5,0.0,56.136,24.773,0.0,1.818,1.136,28.409,7.273,0.455,0.909,-0.023,-0.023,0.091,31.136,44.318,518.864,174.773,2.045,1.818,0.0,0.0,0.0,1.136,DF,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrell Malacia,nl NED,DF,Manchester Utd,eng Premier League,24.0,3,2,100,1.1,0,0,0,0,1,0,0.0,0.0,0.0,3,3,6,0,0,,0.0,0.0,,,,0,,0.0,0.0,49,55,89.1,642,260,0.0,0.0,1,7,1,0,0,0,1,6,0,0,2,2,1.8,1,0,0,1,0,0.0,2,1,2,0,0,50.0,1,3,1,1,62,1,100.0,0,0.0,37,0,1,2,43,33.0,2.9,45.0,1,10.0,1.0,-1,-0.9,0.1,0.08,0,3,0,0,0,3,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,2.7,5.4,0.0,0.0,0.0,0.9,6.3,0.9,0.0,0.9,5.4,0.0,0.0,1.8,1.8,0.0,0.9,0.0,0.0,0.9,1.8,0.9,2.7,0.9,0.9,0.9,55.8,33.3,0.0,0.9,1.8,38.7,2.7,2.7,0.0,0.0,0.0,0.0,44.1,49.5,577.8,234.0,0.9,0.0,0.9,0.0,0.0,0.9,DF,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrick Mitchell,eng ENG,DF,Crystal Palace,eng Premier League,24.0,37,37,3092,34.4,0,5,0,0,2,0,1.3,1.3,6.4,63,70,171,12,3,25.0,0.35,0.09,0.0,0.0,12.8,0,0.11,-1.3,-1.3,976,1355,72.0,15688,5986,3.7,-1.4,41,51,33,16,0,2,105,220,0,5,61,72,2.1,65,1,0,2,7,0.2,91,55,57,27,7,54.3,19,110,108,2,1754,16,42.1,17,44.7,820,9,38,30,902,84.0,90.4,84.0,0,,1.35,-3,-0.09,8.0,0.23,0,23,1,0,0,168,20,48.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.146,0.038,0.038,0.186,0.108,1.834,2.038,4.977,0.349,0.087,0.0,1.193,1.484,0.961,0.466,3.056,6.404,0.0,0.146,1.776,2.096,0.204,1.892,0.029,0.0,0.058,2.649,1.601,3.202,0.553,3.144,0.058,51.054,23.868,0.262,1.106,0.873,26.255,4.89,0.669,0.582,-0.038,-0.038,-0.041,28.409,39.44,456.636,174.237,0.466,0.495,0.058,0.029,0.0,0.0,DF,,0.3434,,,,,,,,,0.4062,0.3931,0.3145,0.5422,0.1284,0.0967,,,,,,,,,,,
Tyrique George,eng ENG,FW,Chelsea,eng Premier League,18.0,8,1,183,2.0,1,1,0,0,1,0,0.2,0.2,0.7,9,3,22,3,1,33.3,1.48,0.49,0.33,1.0,15.0,0,0.07,0.8,0.8,43,54,79.6,551,85,0.3,0.3,6,0,1,0,0,0,3,1,0,0,2,7,3.44,6,0,1,0,1,0.49,2,0,2,0,0,66.7,2,4,1,0,70,3,60.0,2,40.0,46,5,3,0,53,23.0,5.4,80.0,7,15.0,2.25,4,1.97,1.0,0.47,0,3,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.492,0.492,0.098,0.098,0.344,0.148,4.426,1.475,10.82,1.475,0.492,0.0,2.951,0.0,0.492,0.0,1.475,0.492,0.0,0.0,0.984,3.443,0.492,2.951,0.0,0.492,0.0,0.984,0.0,1.967,0.984,0.492,0.0,34.426,22.623,2.459,1.475,0.0,26.066,1.967,1.475,0.0,0.393,0.393,0.148,21.148,26.557,270.984,41.803,1.475,0.984,0.492,0.0,0.0,3.443,FW,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrone Mings,eng ENG,DF,Aston Villa,eng Premier League,31.0,14,12,1120,12.4,0,0,0,0,1,0,0.8,0.8,0.2,7,40,1,9,1,11.1,0.72,0.08,0.0,0.0,11.8,0,0.09,-0.8,-0.8,596,676,88.2,10642,3364,0.2,-0.2,3,48,5,0,0,3,1,0,0,0,7,18,1.45,15,0,0,1,2,0.16,7,6,6,1,0,100.0,7,14,61,1,794,2,66.7,1,33.3,484,1,3,1,532,80.0,32.7,81.0,2,73.0,2.29,15,1.21,10.5,0.84,0,4,0,0,0,38,27,55.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.064,0.064,0.016,0.016,0.562,3.214,0.08,0.723,0.08,0.0,0.241,3.857,0.402,0.0,0.08,0.0,0.0,0.0,0.562,1.446,0.161,1.205,0.0,0.0,0.08,0.562,0.482,1.125,0.562,4.902,0.08,63.804,38.893,0.08,0.241,0.08,42.75,3.054,0.321,2.17,-0.064,-0.064,-0.016,47.893,54.321,855.161,270.321,0.161,0.08,0.08,0.0,0.0,0.161,DF,,0.3824,,,,,,,,,0.0486,0.8206,0.5226,0.6122,0.2676,0.1333,,,,,,,,,,,
